
nome,descrizione,prezzo,discountPct
T-shirt basic,Maglietta in cotone organico,13.99,21
Jeans slim,Jeans elasticizzati blu,39.99,13
Sneakers bianche,Sneakers in pelle,59.99,25
Cappello estivo,Cappello in paglia con fascia,16.00,
Zaino scuola,Zaino con tasche e porta PC,32.90,15
Smart TV 43 pollici,4K UHD con WiFi,299.99,10
Robot aspirapolvere,Autonomia 120min,179.99,15
Friggitrice ad aria,5L digitale,89.99,20
Set valigie trolley,3 pezzi rigidi,119.99,25
Auricolari true wireless,Con custodia ricarica,29.99,30
Monitor gaming 27",QHD 165Hz,249.99,35
Tostapane 4 fette,Funzione bagel,39.99,40
Orologio smartwatch,Notifiche e sport,69.99,45
Pantaloni chino,Cotone elasticizzato,29.99,50
Giacca invernale,Piumino con cappuccio,99.99,55
Scarpe trekking,Impermeabili suola Vibram,109.99,60
Zaino viaggio,40L con organizer,64.99,65
Cuffie gaming,Microfono removibile,49.99,70
Tastiera wireless,Compatta con touchpad,34.99,75
Set asciugamani spugna,3 pezzi colorati,19.99,80
Tenda camera bambini,Stampa animali,24.99,85
Tavolino da caffè,Vetro temperato,59.99,90
Sedia gaming,Schienale reclinabile,149.99,95
Cornice digitale WiFi,Display 8 pollici,69.99,99
Stampante laser,WiFi e fronte/retro,119.99,10
Zaino sportivo,Con scomparto scarpe,34.99,15
Tappeto cucina,Antiscivolo 60x180cm,21.99,20
Set coltelli chef,Acciaio tedesco 6 pezzi,44.99,25
Piumone singolo,Microfibra 4 stagioni,39.99,30
Tavolo pieghevole picnic,Alluminio 90x60cm,34.99,35
Lampada LED RGB,Telecomando incluso,19.99,40
Set valigie morbide,3 pezzi espandibili,99.99,45
Bilancia digitale cucina,Precisione 1g,12.99,50
Ferro da stiro verticale,Vapore rapido,49.99,55
Tostapane compatto,Design moderno,24.99,60
Macchina caffè capsule,Compatibile Nespresso,59.99,65
Zaino scuola trolley,Ruote silenziose,44.99,70
Piastra onde capelli,Ceramica tormalina,39.99,75
Set lenzuola flanella,Matrimoniale,29.99,80
Tappetino fitness,Spessore 1cm,14.99,85
Cuscino ortopedico,Supporto cervicale,19.99,90
Lampada da parete,LED orientabile,24.99,95
Zaino trekking leggero,20L idrorepellente,19.99,99
Tenda doccia fantasia,Poliestere 180x200cm,12.99,10
Set bicchieri birra,6 pezzi 500ml,14.99,15
Tazza colazione,Ceramica 400ml,7.99,20
Portachiavi casa,Metallo con incisione,2.99,25
Orologio digitale,Display grande,9.99,30
Set cuscini divano,2 pezzi velluto,14.99,35
Tenda soggiorno,Oscurante 140x300cm,29.99,40
Tavolo consolle allungabile,Fino a 2.5m,149.99,45
Sedia imbottita velluto,Base oro,44.99,50
Lampada LED esterno solare,IP65,19.99,55
Tappeto cameretta bimbi,100x150cm,19.99,60
Set lenzuola cotone singolo,100% cotone,14.99,65
Tenda a rullo oscurante,80x200cm,11.99,70
Tavolino quadrato,Metallo nero,19.99,75
Sedia pieghevole plastica,Bianca,14.99,80
Lampada applique moderna,LED 18W,24.99,85
Tappeto bagno memory foam,50x80cm,7.99,90
Set asciugamani viso,2 pezzi cotone,5.99,95
Tavolo da pranzo rotondo,Diametro 120cm,199.99,99
Prodotto 99,Descrizione prodotto 99,103.99,90
Prodotto 100,Descrizione prodotto 100,104.99,95
